ACCOUNT NUMBER,DATE,DESCRIPTION,debit_clean,credit_clean,balance_clean,Amount,Z_score,LeadingDigit,Rounded,Precision,Mean,Median,StdDev,K_means Cluster,Cluster Label,Weekend,Holiday,EvenDollar
,2024-09-14,Lunch Itsu,6.25,,4172.81,6.25,-0.47,6,False,0.25,23.77,14.99,37.58,0,Low,True,False,False
,2024-09-15,Business Meal for Podcast,108.57,,4281.38,108.57,2.26,1,False,0.5699999999999932,23.77,14.99,37.58,1,Medium,True,False,False
,2024-09-15,Ladure snack,3.5,,4284.88,3.5,-0.54,3,False,0.5,23.77,14.99,37.58,0,Low,True,False,False
,2024-09-17,Lunch Itsu,6.25,,4291.13,6.25,-0.47,6,False,0.25,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-17,Breakfast Deliveroo,16.55,,4307.68,16.55,-0.19,1,False,0.5500000000000007,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-20,Lunch Itsu,13.5,,4321.18,13.5,-0.27,1,False,0.5,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-21,Soho House Invite,50.0,,4371.18,50.0,0.7,5,True,0.0,23.77,14.99,37.58,0,Low,True,False,False
,2024-09-23,Joe & Juice,8.0,,4379.18,8.0,-0.42,8,True,0.0,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-23,Itsu,6.75,,4385.93,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-23,Deliveroo,34.99,,4420.92,34.99,0.3,3,False,0.990000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-24,Deliveroo,10.62,,4431.54,10.62,-0.35,1,False,0.6199999999999992,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-25,Lunch Itsu,8.15,,4439.69,8.15,-0.42,8,False,0.15000000000000036,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-27,Lunch Itsu,8.15,,4447.84,8.15,-0.42,8,False,0.15000000000000036,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-27,Deliveroo,17.8,,4465.64,17.8,-0.16,1,False,0.8000000000000007,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-02,Lunch Itsu,8.15,,4473.79,8.15,-0.42,8,False,0.15000000000000036,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-03,Deliveroo,32.09,,4505.88,32.09,0.22,3,False,0.09000000000000341,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-03,Lunch at Selfridges,24.99,,4530.87,24.99,0.03,2,False,0.9899999999999984,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-04,Deliveroo,31.88,,4562.75,31.88,0.22,3,False,0.879999999999999,23.77,14.99,37.58,0,Low,False,False,False
